age,job,marital,education,default,balance,day,month,duration,campaign,pdays,previous,poutcome,y,housing,loan
33,technician,single,secondary,no,313,21,may,291,2,-1,0,unknown,no,yes,no
34,entrepreneur,single,secondary,no,0,21,may,394,2,-1,0,unknown,no,yes,yes
35,blue-collar,married,primary,no,3468,21,may,72,3,-1,0,unknown,no,yes,no
24,blue-collar,single,secondary,no,171,21,may,151,2,-1,0,unknown,no,yes,no
35,blue-collar,married,primary,no,453,21,may,312,2,-1,0,unknown,no,yes,no
40,blue-collar,married,primary,no,558,21,may,56,3,-1,0,unknown,no,yes,yes
32,management,single,tertiary,no,1373,21,may,474,2,-1,0,unknown,no,yes,no
38,blue-collar,single,primary,no,-100,21,may,189,2,-1,0,unknown,no,yes,no
35,technician,married,secondary,no,432,21,may,1094,55,-1,0,unknown,no,yes,no
39,admin.,married,secondary,no,1985,21,may,155,4,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,223,21,may,91,3,-1,0,unknown,no,yes,no
33,management,married,tertiary,no,2308,21,may,232,2,-1,0,unknown,no,yes,no
36,self-employed,single,tertiary,no,4752,21,may,446,2,-1,0,unknown,no,yes,no
52,admin.,married,secondary,no,1933,21,may,153,4,-1,0,unknown,no,yes,no
58,retired,married,secondary,no,1402,21,may,111,5,-1,0,unknown,no,yes,no
39,blue-collar,married,secondary,no,5853,21,may,210,2,-1,0,unknown,no,yes,no
26,services,single,secondary,no,186,21,may,72,3,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,1739,21,may,213,2,-1,0,unknown,no,yes,yes
38,entrepreneur,married,tertiary,no,6704,21,may,205,2,-1,0,unknown,no,yes,no
35,blue-collar,married,primary,no,1176,21,may,166,2,-1,0,unknown,no,yes,no
30,services,single,secondary,no,-838,21,may,142,2,-1,0,unknown,no,yes,no
33,management,single,tertiary,no,28,21,may,237,2,-1,0,unknown,no,yes,no
38,self-employed,married,secondary,no,-165,21,may,230,2,-1,0,unknown,no,yes,no
31,admin.,divorced,secondary,no,2294,21,may,96,2,-1,0,unknown,no,yes,no
34,management,married,secondary,no,293,21,may,162,3,-1,0,unknown,no,yes,no
33,management,married,secondary,no,609,21,may,239,2,-1,0,unknown,no,yes,no
46,management,single,tertiary,no,-867,21,may,222,5,-1,0,unknown,no,yes,yes
27,blue-collar,single,secondary,no,-208,21,may,127,2,-1,0,unknown,no,yes,no
35,services,married,secondary,no,1317,21,may,69,4,-1,0,unknown,no,yes,no
32,admin.,divorced,secondary,no,335,21,may,501,2,-1,0,unknown,no,yes,no
33,blue-collar,single,primary,no,1390,21,may,192,1,-1,0,unknown,no,yes,no
37,blue-collar,married,secondary,no,1818,21,may,273,1,-1,0,unknown,no,yes,no
37,blue-collar,married,primary,no,543,21,may,281,1,-1,0,unknown,no,yes,no
31,blue-collar,married,secondary,no,3298,21,may,175,2,-1,0,unknown,no,yes,no
40,unemployed,single,secondary,no,1744,21,may,465,11,-1,0,unknown,no,yes,no
34,blue-collar,single,secondary,no,89,21,may,175,2,-1,0,unknown,no,yes,yes
32,blue-collar,married,primary,no,-175,21,may,116,1,-1,0,unknown,no,yes,no
36,blue-collar,single,primary,no,20,21,may,87,14,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,263,21,may,206,3,-1,0,unknown,no,yes,no
27,admin.,single,secondary,no,392,21,may,292,2,-1,0,unknown,no,yes,yes
31,blue-collar,married,secondary,no,1599,21,may,49,1,-1,0,unknown,no,yes,no
32,technician,single,secondary,no,644,21,may,198,1,-1,0,unknown,no,yes,yes
53,blue-collar,married,secondary,no,813,21,may,23,16,-1,0,unknown,no,yes,no
39,management,married,tertiary,no,2271,21,may,575,2,-1,0,unknown,no,yes,no
33,services,married,secondary,no,881,21,may,67,5,-1,0,unknown,no,yes,no
48,blue-collar,married,primary,no,5366,21,may,248,3,-1,0,unknown,no,yes,no
38,blue-collar,married,secondary,no,924,21,may,108,2,-1,0,unknown,no,yes,no
33,blue-collar,married,primary,no,240,21,may,373,3,-1,0,unknown,no,yes,no
38,blue-collar,single,secondary,no,578,21,may,112,2,-1,0,unknown,no,yes,no
30,blue-collar,married,primary,no,1317,21,may,395,2,-1,0,unknown,no,yes,no
39,blue-collar,married,primary,no,2003,21,may,229,2,-1,0,unknown,no,yes,no
33,technician,married,secondary,no,946,21,may,163,2,-1,0,unknown,no,yes,no
46,blue-collar,single,secondary,no,0,21,may,27,10,-1,0,unknown,no,no,no
32,blue-collar,married,secondary,no,920,21,may,135,2,-1,0,unknown,no,yes,no
33,self-employed,married,tertiary,no,1545,21,may,357,2,-1,0,unknown,no,yes,no
28,services,single,secondary,no,-427,21,may,965,2,-1,0,unknown,no,yes,yes
38,admin.,married,secondary,no,3732,21,may,379,2,-1,0,unknown,no,yes,no
33,technician,single,tertiary,no,8874,21,may,152,3,-1,0,unknown,no,no,yes
37,technician,single,secondary,no,7867,21,may,36,2,-1,0,unknown,no,yes,no
32,management,single,tertiary,no,1756,21,may,206,3,-1,0,unknown,no,yes,no
31,management,married,tertiary,no,4924,21,may,389,2,-1,0,unknown,no,yes,no
32,technician,married,secondary,no,4174,21,may,314,2,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,360,21,may,66,2,-1,0,unknown,no,yes,no
32,services,married,secondary,no,255,21,may,86,2,-1,0,unknown,no,yes,yes
34,technician,divorced,primary,no,3744,21,may,489,2,-1,0,unknown,no,yes,no
37,management,married,tertiary,no,2205,21,may,85,4,-1,0,unknown,no,no,no
31,technician,married,secondary,no,510,21,may,117,3,-1,0,unknown,no,yes,no
30,blue-collar,married,unknown,no,198,21,may,149,3,-1,0,unknown,no,yes,no
31,management,single,tertiary,no,24870,21,may,634,2,-1,0,unknown,no,yes,no
32,blue-collar,married,secondary,no,43,21,may,173,2,-1,0,unknown,no,yes,no
33,admin.,single,secondary,no,1779,21,may,175,2,-1,0,unknown,no,yes,no
31,technician,married,secondary,no,589,21,may,151,1,-1,0,unknown,no,yes,yes
31,blue-collar,married,secondary,no,664,21,may,987,3,-1,0,unknown,no,yes,yes
28,services,single,secondary,no,115,21,may,66,13,-1,0,unknown,no,yes,no
36,entrepreneur,married,secondary,no,352,21,may,139,2,-1,0,unknown,no,yes,no
38,blue-collar,single,secondary,no,745,21,may,281,15,-1,0,unknown,no,yes,no
31,admin.,single,secondary,no,5527,21,may,132,1,-1,0,unknown,no,yes,no
31,services,single,secondary,no,629,21,may,369,2,-1,0,unknown,no,yes,no
36,blue-collar,married,secondary,no,342,21,may,88,3,-1,0,unknown,no,yes,yes
37,technician,single,secondary,no,3326,21,may,799,1,-1,0,unknown,yes,yes,no
36,admin.,divorced,secondary,yes,-491,21,may,671,3,-1,0,unknown,no,yes,yes
31,blue-collar,single,secondary,no,0,21,may,397,9,-1,0,unknown,no,yes,no
34,services,married,secondary,no,286,21,may,703,1,-1,0,unknown,no,yes,no
34,management,married,tertiary,no,4170,21,may,935,1,-1,0,unknown,no,yes,no
32,admin.,married,secondary,no,76,21,may,189,2,-1,0,unknown,no,yes,no
31,admin.,single,tertiary,no,-194,21,may,165,2,-1,0,unknown,no,no,no
33,admin.,married,secondary,no,1499,21,may,144,2,-1,0,unknown,no,yes,no
34,blue-collar,single,primary,no,245,21,may,21,3,-1,0,unknown,no,yes,no
35,blue-collar,single,primary,no,49,21,may,234,2,-1,0,unknown,no,yes,no
30,technician,married,secondary,no,4733,21,may,81,2,-1,0,unknown,no,yes,no
36,blue-collar,married,primary,no,0,21,may,59,2,-1,0,unknown,no,yes,no
26,management,single,tertiary,no,1284,21,may,97,8,-1,0,unknown,no,yes,no
44,retired,married,primary,no,779,21,may,233,3,-1,0,unknown,no,yes,no
23,blue-collar,single,primary,no,965,21,may,1161,4,-1,0,unknown,no,yes,no
36,blue-collar,divorced,secondary,no,625,21,may,265,2,-1,0,unknown,no,yes,no
39,blue-collar,married,primary,no,568,21,may,173,3,-1,0,unknown,no,yes,no
49,blue-collar,married,secondary,no,913,21,may,178,3,-1,0,unknown,no,yes,yes
38,blue-collar,married,secondary,no,622,21,may,611,2,-1,0,unknown,yes,yes,no
51,management,married,secondary,no,140,21,may,45,10,-1,0,unknown,no,yes,no
25,services,single,secondary,no,-61,21,may,203,2,-1,0,unknown,no,yes,no
39,technician,married,secondary,no,4441,21,may,86,2,-1,0,unknown,no,yes,no
31,blue-collar,married,secondary,no,1138,21,may,254,3,-1,0,unknown,no,yes,yes
37,management,married,tertiary,no,0,21,may,72,5,-1,0,unknown,no,yes,yes
27,technician,married,secondary,no,-147,21,may,239,4,-1,0,unknown,no,yes,yes
32,blue-collar,married,primary,no,159,21,may,207,3,-1,0,unknown,no,yes,no
34,blue-collar,married,primary,no,336,21,may,713,4,-1,0,unknown,no,yes,no
46,blue-collar,married,secondary,no,2173,21,may,98,5,-1,0,unknown,no,yes,no
37,blue-collar,married,primary,no,1455,21,may,165,2,-1,0,unknown,no,yes,no
36,blue-collar,married,secondary,no,439,21,may,260,5,-1,0,unknown,no,yes,no
32,blue-collar,married,secondary,no,783,21,may,923,3,-1,0,unknown,yes,yes,no
31,blue-collar,single,primary,no,-280,21,may,281,3,-1,0,unknown,no,no,no
53,blue-collar,married,secondary,no,1023,21,may,150,3,-1,0,unknown,no,yes,no
33,technician,divorced,secondary,no,4369,21,may,433,3,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,144,21,may,202,3,-1,0,unknown,no,yes,no
31,housemaid,single,secondary,no,540,21,may,227,3,-1,0,unknown,no,no,no
38,blue-collar,single,primary,no,-5,21,may,30,12,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,906,21,may,218,7,-1,0,unknown,no,yes,yes
49,blue-collar,married,secondary,no,1568,21,may,206,6,-1,0,unknown,no,no,no
44,blue-collar,married,primary,no,858,21,may,362,5,-1,0,unknown,no,yes,no
32,management,married,tertiary,no,3696,21,may,315,3,-1,0,unknown,no,no,no
56,admin.,married,secondary,no,3784,21,may,672,6,-1,0,unknown,no,no,no
34,entrepreneur,married,secondary,no,3119,21,may,250,4,-1,0,unknown,no,yes,no
27,blue-collar,single,primary,no,1518,21,may,700,3,-1,0,unknown,no,yes,no
47,services,married,unknown,no,4822,21,may,154,5,-1,0,unknown,no,yes,no
35,services,married,secondary,no,0,21,may,190,5,-1,0,unknown,no,yes,no
40,management,single,tertiary,no,1393,21,may,20,8,-1,0,unknown,no,yes,no
30,blue-collar,married,primary,no,1023,21,may,168,3,-1,0,unknown,no,yes,no
48,management,married,tertiary,no,4191,21,may,363,6,-1,0,unknown,no,no,no
39,unemployed,single,secondary,no,2645,21,may,339,3,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,0,21,may,521,3,-1,0,unknown,yes,yes,no
38,blue-collar,married,secondary,no,776,21,may,135,2,-1,0,unknown,no,yes,no
33,blue-collar,married,primary,no,1165,21,may,420,2,-1,0,unknown,no,yes,no
37,management,married,tertiary,no,412,21,may,110,4,-1,0,unknown,no,yes,no
57,management,divorced,tertiary,no,461,21,may,142,10,-1,0,unknown,no,yes,no
36,blue-collar,married,primary,no,-402,21,may,173,6,-1,0,unknown,no,no,no
37,management,married,tertiary,no,1813,21,may,291,4,-1,0,unknown,no,yes,no
32,management,single,tertiary,no,1169,21,may,322,2,-1,0,unknown,no,yes,no
26,entrepreneur,single,secondary,no,0,21,may,339,10,-1,0,unknown,no,yes,no
33,blue-collar,married,primary,no,511,21,may,304,2,-1,0,unknown,no,yes,no
46,blue-collar,married,primary,no,328,21,may,526,8,-1,0,unknown,no,yes,no
27,services,single,secondary,no,259,23,may,78,10,-1,0,unknown,no,yes,no
52,blue-collar,married,primary,no,126,23,may,93,4,-1,0,unknown,no,no,no
36,technician,married,secondary,no,5902,23,may,219,4,-1,0,unknown,no,yes,no
33,management,married,tertiary,no,10,23,may,72,5,-1,0,unknown,no,yes,no
35,management,single,tertiary,no,3137,23,may,72,3,-1,0,unknown,no,yes,no
35,admin.,married,secondary,no,2238,23,may,42,3,-1,0,unknown,no,yes,no
28,self-employed,single,secondary,no,131,23,may,407,14,-1,0,unknown,no,yes,no
35,blue-collar,single,secondary,no,773,23,may,136,2,-1,0,unknown,no,yes,no
30,services,single,secondary,no,399,23,may,158,3,-1,0,unknown,no,yes,yes
52,management,married,secondary,no,173,23,may,48,5,-1,0,unknown,no,no,no
36,blue-collar,single,secondary,no,690,23,may,86,2,-1,0,unknown,no,yes,no
39,services,married,primary,no,1601,23,may,201,2,-1,0,unknown,no,yes,no
39,blue-collar,married,secondary,no,439,23,may,214,3,-1,0,unknown,no,yes,no
33,management,married,secondary,no,3132,23,may,350,5,-1,0,unknown,no,yes,no
32,services,single,secondary,no,-408,23,may,253,2,-1,0,unknown,no,yes,no
29,admin.,married,secondary,no,265,23,may,329,2,-1,0,unknown,no,yes,no
37,technician,single,secondary,no,363,23,may,110,3,-1,0,unknown,no,yes,no
43,technician,married,secondary,no,8541,23,may,259,9,-1,0,unknown,no,yes,no
33,technician,single,secondary,no,486,23,may,363,2,-1,0,unknown,no,yes,no
33,technician,single,tertiary,no,594,23,may,149,1,-1,0,unknown,no,yes,yes
32,blue-collar,married,secondary,yes,98,23,may,174,1,-1,0,unknown,no,no,yes
54,blue-collar,divorced,secondary,no,462,23,may,260,3,-1,0,unknown,no,yes,no
33,blue-collar,single,secondary,no,372,23,may,92,1,-1,0,unknown,no,yes,no
33,admin.,single,secondary,no,1221,23,may,245,1,-1,0,unknown,no,yes,no
38,self-employed,single,tertiary,no,917,23,may,260,1,-1,0,unknown,no,yes,no
34,management,single,tertiary,no,0,23,may,346,1,-1,0,unknown,no,yes,no
33,technician,married,secondary,no,884,23,may,271,1,-1,0,unknown,no,yes,no
32,technician,married,secondary,no,587,23,may,203,1,-1,0,unknown,no,yes,no
31,self-employed,single,tertiary,no,91,23,may,206,1,-1,0,unknown,no,no,no
33,entrepreneur,married,primary,no,165,23,may,218,1,-1,0,unknown,no,yes,no
34,technician,married,secondary,no,456,23,may,621,1,-1,0,unknown,no,yes,no
35,blue-collar,married,primary,no,994,23,may,1349,8,-1,0,unknown,yes,yes,no
31,technician,single,tertiary,no,1710,23,may,385,1,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,1138,23,may,509,1,-1,0,unknown,no,yes,yes
31,blue-collar,married,secondary,no,360,23,may,395,1,-1,0,unknown,no,yes,no
32,management,married,tertiary,no,2737,23,may,38,1,-1,0,unknown,no,yes,yes
36,management,married,tertiary,no,8564,23,may,125,1,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,435,23,may,128,1,-1,0,unknown,no,yes,yes
43,technician,single,tertiary,no,4243,23,may,30,10,-1,0,unknown,no,yes,no
55,blue-collar,married,secondary,no,989,23,may,246,4,-1,0,unknown,no,yes,yes
31,technician,single,secondary,no,1186,23,may,136,1,-1,0,unknown,no,yes,no
32,blue-collar,married,primary,no,1261,23,may,132,1,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,25,23,may,3,3,-1,0,unknown,no,yes,no
31,blue-collar,married,primary,no,206,23,may,1171,1,-1,0,unknown,no,yes,no
35,technician,single,secondary,no,11423,23,may,107,1,-1,0,unknown,no,yes,no
30,blue-collar,married,primary,no,184,23,may,217,1,-1,0,unknown,no,yes,no
35,self-employed,divorced,tertiary,no,1354,23,may,736,2,-1,0,unknown,yes,yes,no
29,self-employed,married,tertiary,no,751,23,may,121,2,-1,0,unknown,no,yes,no
36,blue-collar,married,primary,no,711,23,may,154,2,-1,0,unknown,no,yes,no
37,blue-collar,married,secondary,no,453,23,may,98,1,-1,0,unknown,no,yes,yes
32,technician,married,tertiary,no,1129,23,may,189,1,-1,0,unknown,no,yes,no
33,entrepreneur,married,primary,no,237,23,may,89,1,-1,0,unknown,no,yes,no
34,services,single,secondary,no,1239,23,may,164,1,-1,0,unknown,no,yes,no
37,technician,married,secondary,no,0,23,may,412,6,-1,0,unknown,no,yes,no
33,blue-collar,married,primary,no,392,23,may,302,1,-1,0,unknown,no,yes,no
34,blue-collar,married,primary,no,2490,23,may,192,1,-1,0,unknown,no,yes,no
37,technician,single,secondary,no,6714,23,may,90,1,-1,0,unknown,no,yes,no
31,blue-collar,married,secondary,no,873,23,may,145,4,-1,0,unknown,no,yes,no
34,technician,married,secondary,no,1464,23,may,350,1,-1,0,unknown,no,yes,no
35,blue-collar,single,primary,no,90,23,may,203,1,-1,0,unknown,no,yes,no
31,blue-collar,married,secondary,no,714,23,may,254,1,-1,0,unknown,no,yes,no
33,blue-collar,married,primary,no,463,23,may,230,1,-1,0,unknown,no,yes,no
40,self-employed,married,secondary,no,1516,23,may,373,1,-1,0,unknown,no,yes,yes
31,blue-collar,single,secondary,no,509,23,may,183,1,-1,0,unknown,no,yes,no
30,technician,married,secondary,no,207,23,may,72,2,-1,0,unknown,no,yes,no
30,management,single,tertiary,no,3967,23,may,534,1,-1,0,unknown,no,yes,no
37,blue-collar,married,primary,no,3517,23,may,445,1,-1,0,unknown,no,yes,no
38,services,married,secondary,no,435,23,may,193,2,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,6227,23,may,76,2,-1,0,unknown,no,yes,no
34,technician,married,secondary,no,1092,23,may,268,1,-1,0,unknown,no,no,no
35,services,divorced,secondary,no,394,23,may,154,1,-1,0,unknown,no,yes,no
30,blue-collar,single,secondary,no,239,23,may,785,1,-1,0,unknown,yes,yes,no
40,blue-collar,married,primary,yes,-509,23,may,298,1,-1,0,unknown,no,yes,no
31,services,single,secondary,no,-32,23,may,157,1,-1,0,unknown,no,yes,no
32,management,single,tertiary,no,11315,23,may,286,1,-1,0,unknown,no,no,no
31,services,married,secondary,no,1273,23,may,442,1,-1,0,unknown,no,yes,no
30,services,single,secondary,no,1649,23,may,206,1,-1,0,unknown,no,yes,no
34,services,single,secondary,no,84,23,may,299,1,-1,0,unknown,no,yes,no
30,blue-collar,married,secondary,no,278,23,may,1073,1,-1,0,unknown,yes,yes,yes
32,services,single,secondary,no,2459,23,may,162,1,-1,0,unknown,no,yes,yes
31,technician,married,secondary,no,4941,23,may,504,1,-1,0,unknown,no,yes,no
34,blue-collar,divorced,secondary,no,3798,23,may,488,1,-1,0,unknown,no,yes,no
30,blue-collar,married,primary,no,597,23,may,190,1,-1,0,unknown,no,yes,no
32,management,single,secondary,no,-32,23,may,139,1,-1,0,unknown,no,yes,no
37,admin.,married,secondary,no,525,23,may,425,1,-1,0,unknown,no,yes,no
33,self-employed,married,tertiary,no,416,23,may,290,1,-1,0,unknown,no,yes,yes
31,admin.,single,secondary,no,680,23,may,152,1,-1,0,unknown,no,yes,no
37,admin.,divorced,tertiary,no,4303,23,may,168,1,-1,0,unknown,no,yes,no
32,management,single,tertiary,no,3050,23,may,298,1,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,750,23,may,204,1,-1,0,unknown,no,yes,no
34,admin.,single,secondary,no,5547,23,may,313,1,-1,0,unknown,no,yes,no
35,management,single,tertiary,no,643,23,may,322,1,-1,0,unknown,no,yes,no
33,technician,divorced,tertiary,no,-386,23,may,530,1,-1,0,unknown,no,yes,no
31,management,married,tertiary,no,5889,23,may,237,1,-1,0,unknown,no,yes,no
32,services,married,secondary,no,207,23,may,360,1,-1,0,unknown,no,yes,no
32,student,single,secondary,no,1883,23,may,57,1,-1,0,unknown,no,yes,no
32,blue-collar,married,primary,no,697,23,may,700,1,-1,0,unknown,no,yes,no
31,self-employed,single,tertiary,no,14692,23,may,601,1,-1,0,unknown,no,yes,no
30,blue-collar,married,primary,no,595,23,may,231,1,-1,0,unknown,no,yes,no
30,management,single,tertiary,no,1243,23,may,135,1,-1,0,unknown,no,yes,no
41,self-employed,married,tertiary,no,-326,23,may,86,2,-1,0,unknown,no,yes,yes
33,management,married,tertiary,no,17946,23,may,256,1,-1,0,unknown,no,yes,no
34,admin.,divorced,secondary,no,2144,23,may,157,1,-1,0,unknown,no,yes,no
39,management,married,secondary,no,1410,23,may,55,1,-1,0,unknown,no,yes,no
33,management,married,unknown,no,18347,23,may,415,1,-1,0,unknown,no,yes,no
33,technician,single,secondary,no,177,23,may,293,1,-1,0,unknown,no,yes,no
22,blue-collar,single,secondary,no,0,23,may,816,2,-1,0,unknown,no,yes,no
35,technician,married,secondary,no,291,23,may,100,1,-1,0,unknown,no,no,no
34,admin.,single,secondary,no,1880,23,may,297,1,-1,0,unknown,no,yes,no
31,management,married,tertiary,no,7,23,may,191,1,-1,0,unknown,no,yes,no
39,technician,single,tertiary,no,21,23,may,58,1,-1,0,unknown,no,yes,no
30,management,single,tertiary,no,136,23,may,152,1,-1,0,unknown,no,yes,no
36,technician,single,secondary,no,9068,23,may,98,1,-1,0,unknown,no,yes,no
31,entrepreneur,single,secondary,no,159,23,may,533,1,-1,0,unknown,no,yes,no
42,services,married,primary,no,2557,23,may,28,3,-1,0,unknown,no,yes,no
39,technician,married,secondary,no,287,23,may,63,1,-1,0,unknown,no,yes,no
25,student,single,secondary,no,1765,23,may,135,2,-1,0,unknown,no,yes,no
34,blue-collar,married,primary,no,571,23,may,202,2,-1,0,unknown,no,yes,no
31,admin.,single,tertiary,no,0,23,may,181,1,-1,0,unknown,no,yes,yes
35,technician,married,secondary,no,700,23,may,240,2,-1,0,unknown,no,yes,no
44,blue-collar,single,unknown,no,0,23,may,354,4,-1,0,unknown,no,yes,no
28,blue-collar,married,secondary,no,59,23,may,293,2,-1,0,unknown,no,yes,yes
28,technician,single,tertiary,no,370,23,may,108,5,-1,0,unknown,no,yes,no
31,entrepreneur,married,tertiary,no,0,23,may,275,2,-1,0,unknown,no,yes,no
32,blue-collar,married,primary,no,225,23,may,23,1,-1,0,unknown,no,yes,no
36,admin.,married,secondary,no,-118,23,may,263,2,-1,0,unknown,no,yes,yes
32,technician,single,tertiary,no,390,23,may,85,1,-1,0,unknown,no,yes,no
37,management,single,tertiary,no,1379,23,may,319,3,-1,0,unknown,no,yes,no
36,blue-collar,single,secondary,no,1168,23,may,242,3,-1,0,unknown,no,yes,no
41,retired,married,secondary,no,287,23,may,236,2,-1,0,unknown,no,no,no
32,blue-collar,married,secondary,no,2549,23,may,246,3,-1,0,unknown,no,yes,no
34,admin.,married,secondary,no,79,23,may,83,1,-1,0,unknown,no,yes,no
31,management,single,tertiary,no,0,23,may,391,1,-1,0,unknown,no,yes,no
32,blue-collar,married,primary,no,827,23,may,230,2,-1,0,unknown,no,yes,no
39,management,married,tertiary,no,12,23,may,130,1,-1,0,unknown,no,yes,no
36,blue-collar,married,primary,no,973,23,may,293,1,-1,0,unknown,no,yes,yes
34,housemaid,single,secondary,no,1408,23,may,245,1,-1,0,unknown,no,yes,no
34,blue-collar,married,secondary,no,2495,23,may,924,1,-1,0,unknown,yes,yes,no
35,management,married,secondary,no,339,23,may,317,1,-1,0,unknown,no,yes,no
32,technician,married,secondary,no,0,23,may,134,2,-1,0,unknown,no,yes,no
36,blue-collar,married,secondary,no,520,23,may,110,2,-1,0,unknown,no,yes,no
40,services,divorced,secondary,no,5745,23,may,37,1,-1,0,unknown,no,yes,yes
36,blue-collar,married,secondary,no,222,23,may,188,1,-1,0,unknown,no,yes,no
33,self-employed,married,tertiary,no,-355,23,may,911,2,-1,0,unknown,no,yes,no
31,management,divorced,tertiary,no,1804,23,may,206,1,-1,0,unknown,no,yes,no
30,blue-collar,married,secondary,no,253,23,may,160,2,-1,0,unknown,no,yes,no
33,blue-collar,married,secondary,no,524,23,may,156,2,-1,0,unknown,no,yes,no
29,admin.,single,secondary,no,132,23,may,314,3,-1,0,unknown,no,no,no
36,management,divorced,tertiary,yes,-1,23,may,268,1,-1,0,unknown,no,yes,yes
47,technician,married,secondary,no,-401,23,may,78,1,-1,0,unknown,no,yes,no
32,blue-collar,married,primary,no,410,23,may,115,2,-1,0,unknown,no,yes,no
32,technician,married,secondary,no,3155,23,may,99,3,-1,0,unknown,no,yes,no
50,technician,married,tertiary,no,247,23,may,173,1,-1,0,unknown,no,no,no
41,management,single,tertiary,no,16,23,may,95,1,-1,0,unknown,no,no,no
29,housemaid,married,secondary,no,823,23,may,14,2,-1,0,unknown,no,yes,no
24,admin.,single,tertiary,no,1141,23,may,230,1,-1,0,unknown,no,yes,no
56,blue-collar,married,primary,no,246,23,may,438,1,-1,0,unknown,no,yes,no
55,blue-collar,married,unknown,no,-102,23,may,35,1,-1,0,unknown,no,yes,no
32,management,single,tertiary,no,151,23,may,111,2,-1,0,unknown,no,no,no
32,technician,single,tertiary,no,1212,23,may,463,2,-1,0,unknown,no,yes,no
56,retired,married,secondary,no,397,23,may,252,1,-1,0,unknown,no,yes,no
32,self-employed,married,primary,no,-6,23,may,881,2,-1,0,unknown,no,no,no
28,blue-collar,single,secondary,no,56,23,may,66,1,-1,0,unknown,no,yes,no
34,blue-collar,single,secondary,no,1156,23,may,234,2,-1,0,unknown,no,yes,no
36,blue-collar,married,primary,no,-327,23,may,691,1,-1,0,unknown,no,yes,yes
26,student,single,tertiary,no,1570,23,may,81,1,-1,0,unknown,no,yes,no
51,management,divorced,secondary,no,-175,23,may,270,1,-1,0,unknown,no,yes,yes
43,technician,divorced,secondary,no,353,23,may,153,1,-1,0,unknown,no,yes,no
42,admin.,single,secondary,no,61,23,may,65,1,-1,0,unknown,no,yes,no
31,management,single,tertiary,no,-1206,23,may,390,1,-1,0,unknown,no,yes,no
29,blue-collar,single,secondary,no,208,23,may,249,1,-1,0,unknown,no,yes,no
28,blue-collar,single,secondary,no,38,23,may,31,1,-1,0,unknown,no,yes,no
52,admin.,divorced,secondary,no,-209,23,may,161,1,-1,0,unknown,no,yes,yes
44,technician,divorced,unknown,no,759,23,may,397,1,-1,0,unknown,no,yes,no
38,blue-collar,married,secondary,no,-40,23,may,227,1,-1,0,unknown,no,yes,no
28,blue-collar,married,primary,no,4,23,may,7,1,-1,0,unknown,no,yes,no
24,services,married,secondary,no,45,23,may,465,1,-1,0,unknown,no,yes,yes
29,services,married,secondary,no,-753,23,may,98,1,-1,0,unknown,no,yes,yes
24,technician,single,secondary,no,820,23,may,665,1,-1,0,unknown,no,yes,no
32,technician,divorced,tertiary,no,0,23,may,80,1,-1,0,unknown,no,yes,yes
27,blue-collar,single,secondary,no,672,23,may,164,1,-1,0,unknown,no,yes,no
41,technician,married,tertiary,no,-762,23,may,145,1,-1,0,unknown,no,yes,yes
42,management,single,tertiary,no,422,23,may,25,2,-1,0,unknown,no,yes,no
25,blue-collar,married,secondary,no,51,23,may,76,2,-1,0,unknown,no,yes,no
36,admin.,married,secondary,no,1601,23,may,163,3,-1,0,unknown,no,yes,no
36,blue-collar,divorced,secondary,no,2278,23,may,152,2,-1,0,unknown,no,yes,no
24,services,married,secondary,yes,110,23,may,27,1,-1,0,unknown,no,yes,no
32,technician,single,tertiary,no,539,23,may,281,2,-1,0,unknown,no,yes,yes
37,admin.,single,secondary,no,-332,23,may,284,2,-1,0,unknown,no,yes,no
46,admin.,single,unknown,yes,0,23,may,378,2,-1,0,unknown,no,no,no
29,admin.,single,secondary,no,468,23,may,353,1,-1,0,unknown,no,yes,yes
43,unemployed,married,primary,no,240,23,may,83,2,-1,0,unknown,no,yes,no
30,services,married,secondary,no,2,23,may,50,3,-1,0,unknown,no,no,yes
33,services,divorced,secondary,yes,339,23,may,496,4,-1,0,unknown,no,yes,no
46,management,single,secondary,no,295,23,may,141,6,-1,0,unknown,no,yes,no
54,technician,married,secondary,no,7252,23,may,139,2,-1,0,unknown,no,no,no
36,technician,married,secondary,no,1109,23,may,122,5,-1,0,unknown,no,yes,no
40,management,divorced,tertiary,no,-319,23,may,59,3,-1,0,unknown,no,yes,no
34,technician,married,secondary,no,5553,23,may,258,5,-1,0,unknown,no,yes,no
30,services,single,secondary,no,187,23,may,110,1,-1,0,unknown,no,yes,no
